id,titrFr,categorieFr,ref,niveau,prix,img,description
430,Oscillations forcées et la résonance,Physique,DB338,ثانوي,4.900.00 Dzd,/media/produit/images/DB_338_copy.jpg,La question des vibrations forcées et de la réactivité est importante Il est conseillé de le prendre à l''aide d''une méthode expérimentale fournie à l''enseignant. Temps et faciliter le processus d’explication afin que l’élève puisse Comprendre les concepts et déduire les relations physiques particulières de chacun Mouvement facilement; essayez de nous fournir de tels moyens rares Au niveau de nos établissements d''enseignement - le sujet est nouvellement inclus - Nous vous suggérons cet appareil composé principalement de Nwasin Deux gravitateurs (agitateur et transducteur) sont des rotors parallèles Ils sont couplés par un ressort en spirale flexible Ses bagues sont contiguës
431,Ensemble pour l étude de la conductivité,Electronique et électricité,DB339,ثانوي,12.000.00 Dzd,/media/produit/images/DB_339-1_copy.jpg,Un ensemble complet de conductivité de mesure formé à partir d’un sac contenant Les éléments de base permettant de mener à bien toutes les expériences familières avec cette Le nouveau sujet des programmes de deuxième et troisième années est secondaire. La conductivité d''une solution peut être étudiée afin de suivre l''évolution de la réaction Chimiste x en termes de temps pour obtenir son exploitation En tant que technique d''étalonnage. Le sac contient: 5 cellules qui permettent de mener plusieurs études; des porteurs de cellules Générateur de tension variable jusqu''à: v1 et hz400 Et un courant de magnitude maximum. 80mA Le sac est livré avec une notice technique Une pédagogie décrit les différentes expériences comme une étape Pas à pas et expliquer comment l''exploiter de manière pédagogique Selon les nouveaux programmes Cela a touché les cours de chimie.
432,"Le sang, intermédiaire entre les cellules et milieu extérieur",Sciences de la nature et de la vie,DB340,متوسط,18.500.00 Dzd,/media/produit/images/DB_340_B_copy.jpg,Le sang est un fluide vital qui joue un rôle important dans le corps humain Il remplit de nombreuses fonctions vitales telles que la respiration et l''excrétion La nutrition ne fournira de tels sujets qu''aux élèves Cela demande un grand effort de la part du professeur; ainsi qu''une explication Et la sélection rigoureuse des phrases et des graphiques d''affichage illustre Aspects requis; seconde main appelle la situation La concentration des élèves chez les grands et les petits professeurs est exposée Ce qui ne peut être réalisé comme souligné par une partie Le professeur dans la plupart des cas mais avec ce modèle est réalisé Les résultats sont si impressionnants que cela permet d’économiser beaucoup de temps pour expliquer Et la répétition et attire l''attention des étudiants et les amène à réfléchir Réveille sans effort l''esprit de participation active. Ce modèle peut être utilisé Qui l''exploite efficacement Il résume les échanges gazeux respiratoires entre le média externe et les poumons et entre les poumons et le sang.  - 2 résume les échanges de gaz respiratoires entre le sang et les cellules du corps.  - 3 résume le transfert de nutriments et de déchets entre les cellules du corps et le sang.  - 4 résume le cheminement des aliments à travers le tube digestif.  - 5 résume le transfert des nutriments de l''intestin grêle vers le sang et la lymphe.  - 6 résume le transfert des déchets vers le système urinaire.  - 7 résume clairement la circulation majeure et mineure Cela permet à l''enseignant d''exploiter ce modèle dans des positions Différents sujets éducatifs et différents Joindre une instruction pédagogique détaillée
433,L’arc reflexe simple,Sciences de la nature et de la vie,DB341,متوسط,9.000.00 Dzd,/media/produit/images/DB_341_copy.jpg,Plusieurs éléments anatomiques interfèrent avec le réflexe myéloïde pour faciliter le traitement de la performance Sa carrière et sa présentation aux étudiants dans une atmosphère intéressante et vivante les incitent à réfléchir et à désirer Dans l’enquête; ce dispositif a été spécialement conçu pour être un outil efficace permettant aux professeurs d’expliquer clairement à l’élève Et l''amène facilement à approfondir le concept d''arc réflexe et de fluide neural et atteint ainsi Les objectifs d''utilisation de cet appareil sont: - Détection d''éléments anatomiques interférant avec le réflexe myéloïde - Connaître le rôle de chacun de ces éléments anatomiques dans la performance du réflexe Voie myéloïde myéloïde et neurale - Déterminer le sens de transmission du liquide neural dans l’arc réflexe. Le diagramme grossissant de l’arc réflexe; dessiné sur la tête de l’appareil; permet à chaque élève La section est clairement visible pour les éléments anatomiques et la transmission du liquide neural est représentée par une transition Un signal lumineux à travers l''élément responsable (nerfs sensoriels et moteurs) lors de la piqûre d''une zone Il n''y a pas de peau; dans ce cas; le picotement est remplacé par un bouton-poussoir une fois la pression exercée. Le bouton d’alarme (tressaillement) transmet le message neural en forme Lumières à travers des éléments anatomiques responsables. L''appareil est attaché à une instruction pédagogique
434,Trajet de l’influx nerveux dans le réflexe médullaire et l’acte volontaire,Sciences de la nature et de la vie,DB342,متوسط,15.000.00 Dzd,/media/produit/images/DB_342-1_copy.jpg,Seule une approche théorique de la matière neuronale confine l''étudiant au rôle d''auditeur et de destinataire. Pour des informations qui pourraient détourner son attention de la leçon; venez présenter cet appareil pour en faire L''élève est en réalité un élément de recherche et d''investigation Le professeur le place dans une position lui permettant d''aborder le sujet avec vitalité et suspense. La face avant de l''appareil présente un schéma agrandi des éléments anatomiques interférant avec le réflexe inné Spinal et administratif équipés de deux boutons; l''un d''eux pour alerter les sens Et l''autre pour stimuler la peau (réflexe spinal) Réflexe à prendre. La pression d''un bouton représente le processus d''alarme; et le flux neural est la transmission d''un signal lumineux à travers l''élément Anatomique responsable de le déplacer de la position d''alerte jusqu''à ce qu''il atteigne l''élément de réponse (muscle) Ce qui cause le bras à bouger et cela augmente la curiosité et l''attention de l''étudiant L''avantage du dispositif avec la propriété de la grande taille du schéma anatomique et de la transmission du fluide neural Avec un signal lumineux; chaque élève est autorisé à voir le chemin neural une fois Et la direction de sa transmission entre différents Éléments anatomiques; comme le professeur a pu présenter Toute la leçon en une classe et de manière pédagogique Modern chante beaucoup de description théorique. Joindre une instruction pédagogique détaillée
435,Modèle de digestion des lipides,Sciences de la nature et de la vie,DB343,متوسط - ثانوي,4.500.00 Dzd,/media/produit/images/DB_343_copy.jpg,La graisse est une substance qui entre dans la synthèse de beaucoup d''aliments Qui fournissent des acides gras essentiels au corps humain Alors; comment la graisse est digérée Dans le tube digestif? Quelles sont les substances résultantes? L’utilisation de ce modèle permet à l’enseignant d’expliquer comment digérer Fat étape par étape et clarifier le concept d''enzyme Le modèle est constitué de pièces magnétiques montées sur une plaque de métal Cela permet à l''étudiant avec l''aide de l''enseignant de retracer les étapes de la digestion de la graisse Cela lui permet d''identifier: - Structure grasse et les unités qui la composent. - Quel est le lien entre les acides gras et l''alcool? Pour former une grosse molécule. - Le rôle de l''enzyme dans le démantèlement des graisses en acides Crémeux et alcool. L''appareil est accompagné d''une instruction d''utilisation détaillée
436,Modèle de digestion des protéines,Sciences de la nature et de la vie,DB344,متوسط - ثانوي,4.500.00 Dzd,/media/produit/images/DB_344-1_copy.jpg,Quels sont les changements dans la molécule de protéine à l''intérieur du tube Digestif et quel est le résultat final de la digestion? Le modèle de digestion des protéines fournit une réponse adéquate et permet à l’élève Identifier le rôle de l''enzyme dans la digestion et la structure et les unités des protéines Cela lui permet également de comprendre comment les acides aminés se lient Pour former la chaîne protéique et la manière dont la protéine est décomposée par interférence enzymatique Aux polypeptides et ensuite aux acides de sécurité. Le modèle est constitué de pièces magnétiques montées sur une plaque de métal. Joignez une instruction d''utilisation détaillée.
437,Modèles de chromosomes,Sciences de la nature et de la vie,DB345,متوسط - ثانوي,4.500.00 Dzd,/media/produit/images/DB_345_copy.jpg,L’élève a du mal à comprendre et à comprendre comment les chromosomes sont distribués au cours du cours. Dysfonctionnement mitochondrial; en particulier la division équitable; et ce sujet est considéré Un sujet important en génétique; nous suggérons donc ces modèles Les chromosomes ont une grande taille permettant à tous les élèves de suivre Les expériences sont très claires et sont également équipées d''aimants et de malaxeurs pour l''installation Sur une plaque métallique facilement et cinétiquement à travers laquelle l’élève reconnaît: - Cellule avec le chromosome 2N - Comment positionner les chromosomes pour former une plaque tropicale en mitose - Comment répartir les chromosomes en cas de mitose après la phase de séparation - Comment positionner les chromosomes dans le cas de la scène entre deux électrodes. - Autres points et concepts importants qui concernent Le sujet de la division cellulaire. L''appareil est accompagné d''une instruction pédagogique détaillée.
438,Les anticorps et le système ABO,Sciences de la nature et de la vie,DB346,متوسط - ثانوي,8.000.00 Dzd,/media/produit/images/DB_346-1_copy.jpg,Le concept de soi et des plaisirs est l’un des concepts fondamentaux et importants de l’immunologie. Nous suggérons donc le modèle de système ABO. Les anticorps sont spécifiquement conçus pour étudier et assimiler ce concept appliqué pour comprendre ce qui se passe dans le corps humain Facile et simplifié à travers lequel l''étudiant lui-même à: - RH définit le concept de groupe sanguin (système ABO et système.) - Définir le concept d''absorption et le moment de permettre une transfusion sanguine entre deux personnes sans aucun risque. - Comment détecter des cliques de sang
439,Cuve à ondes avec stroboscope électronique,Electronique et électricité,DB347,ثانوي,0.00 Dzd,/media/produit/images/DB_347_copy.jpg,L’utilisation de ce dispositif facilite grandement l’étude des ondes déployées Sur une surface liquide libre. Il ne nécessite pas d''ajustement manuel pour la synchronisation Entre l''éclairage stroboscopique et la propagation des ondes où la pression est suffisante Le bouton pour obtenir directement sur En même temps; ajoutez à la couleur distincte de l''éclairage qui permet l''observation Le phénomène permet clairement à l’appareil de faire plusieurs expériences; comment il fait saillie À travers lequel les propriétés de base des ondes (Propagation; superposition; réflexion; diffraction) Faire en sorte que l''élève comprenne facilement ces propriétés et le concept de rôle Et la longueur d''onde. Des expériences semi-quantitatives et quantitatives peuvent être menées pour déterminer Certaines quantités physiques telles que la longueur d''onde; la fréquence ou la vitesse de propagation. L''appareil est livré avec une instruction technique et pédagogique Des expériences pas à pas et montre comment les exploiter
440,Collision des continents.disparition des océans et formation des montagnes,Geologie,DB349,متوسط - ثانوي,9.500.00 Dzd,/media/produit/images/DB_349-01_copy.jpg,Cela s''est passé il y a plus de soixante-dix millions d''années Le continent asiatique est la plus haute chaîne de montagnes du monde Himalaya; la disparition de l''océan qui séparait les deux continents. C’est ce que le professeur dira à l’étudiant lorsqu’il abordera le sujet de la collision des continents et de cet argent. L’étudiant souhaite difficilement imaginer ce phénomène même si le professeur a soutenu Il a parlé avec quelques croquis; mais en utilisant cet appareil; il a pu Le professeur doit dispenser la leçon dans un confort absolu et en peu de temps Sur beaucoup d''explications théoriques laborieuses. Cet appareil n’est pas seulement un diagramme ou une chaîne stéréo; c’est un Un modèle en mouvement permet au professeur de passer en revue le processus du continent se dirigeant vers le continent Asie et ses phénomènes géologiques associés; grâce à un petit fond arrondi L’appareil; en faisant tourner le continent indien; se déplace progressivement vers l’Asie afin de Cela s’arrête pour illustrer certains points; et cela augmentera le frisson et la vitalité de la leçon. Sans aucun doute; l''élève s''intéresse davantage à l''absorption du sujet Et même le désir d''enquêter. Détails d''utilisation et autres informations Vous pouvez le trouver dans les instructions jointes à l''appareil
441,Volcanisme de point chaud,Geologie,DB350,متوسط - ثانوي,9.000.00 Dzd,/media/produit/images/DB_350-01_copy.jpg,Le principe de fonctionnement de cet appareil est la possibilité de révision Progressif au phénomène des points chauds des volcans que vous connaissez En tant que volcanique présent au niveau des plaques continentales (Exemple volcanique du Hoggar). Cet appareil évitera au professeur de nombreuses explications Et d''une manière intéressante et excitante aidera l''étudiant à la saveur Et accommoder ces perceptions difficiles; merci Un petit professeur arrondi peut revoir ce phénomène Au fur et à mesure et sous la surveillance L''élève comment l''ascension progressive du magma émis Depuis le point chaud jusqu''à la formation du premier volcan On observe alors que la plaque continentale ou océanique se déplace; et le magma est libéré Une fois de plus; un nouveau volcan émerge. Détails complets Vous pouvez le trouver dans les instructions d''utilisation
442,La subduction et les phénomènes y accompagnant,Geologie,DB351,متوسط - ثانوي,6.000.00 Dzd,/media/produit/images/DB_351-1_copy.jpg,Il est très difficile pour l’élève d’imaginer l’agrandissement des océans Toujours mais la taille de la terre reste la même. Le phénomène d''expansion des océans; avec la taille de la Terre restant constante; sera confondu L''élève; mais l''utilisation de ce dispositif est clairement évidente chez l''élève En examinant la manière dont l’océan se dilate (par exemple; son expansion entre les deux continents de l’Afrique) Et Amérique du Sud) découvre comment le renouvellement constant du sol Périphérique (activité dorsale) est compensée par le processus opposé (plongée) qui est la disparition Cloué à l''ancien plancher dans les zones de plongée. L''appareil est équipé de poignées à l''arrière permettant au professeur de revoir progressivement Le phénomène avec la possibilité d''arrêter dans n''importe quelle position choisie par le but de l''explication La clarification poursuivra ensuite le processus. Joindre une instruction d''utilisation détaillée
443,Formation et expansion des océans ( dorsale océanique),Geologie,DB352,متوسط - ثانوي,9.000.00 Dzd,/media/produit/images/DB_352-01_copy.jpg,La formation et l''expansion de l''océan se font après la séparation de deux masses de la croûte terrestre et leur séparation Progressivement en raison du phénomène périphérique. Pour bien illustrer ce phénomène; difficile à imaginer pour l’élève Et absorbé par le professeur utilise cet appareil; qui va vraiment soulager et chanter Pour allonger l''explication sans bénéfice tangible. L''appareil est un modèle mobile avec un composé arrondi derrière l''appareil Il est consacré à une revue progressive du phénomène. Le professeur peut montrer Ce phénomène pour les élèves de manière intéressante et amusante en quelques minutes Ce qui a effectivement pris des millions d''années. Plus de détails et plus d''informations Dans les instructions d''utilisation fournies avec l''appareil
444,Transmission de mouvement par Vis sans fin,Physique,DB353,متوسط,1.300.00 Dzd,/media/produit/images/DB_353_copy.jpg,
445,Lecture de la valeur d’une résistance électrique,Electronique et électricité,DB354,متوسط,4.500.00 Dzd,/media/produit/images/DB_354_copy.jpg,L’appareil d’entraînement a pour but de lire directement la valeur de la résistance électrique en utilisant Code de couleur (Manuel; AM3 p. 195) Le principe de fonctionnement de l''appareil: Dans l''interface de l''appareil; deux écrans 1 et (2 voir l''image). De l''écran Une série de couleurs exprime la valeur de la résistance électrique et une valeur apparaît à l''écran Résistance à cette série de couleurs. La modification de la gamme de couleurs (d''où la valeur de résistance) se fait facilement. Et rapide en utilisant une fente à l''arrière de l''appareil.  - 1 Choisissez une gamme de couleurs à l''écran avec blocage de l''écran (par exemple; en utilisant la paume de la main) La valeur de résistance correspondante est alors requise pour cette série de couleurs. - 2 - inversement; une valeur spécifique de résistance peut être sélectionnée et une gamme de couleurs correspondant à cette valeur est requise. Les expériences sont détaillées dans les instructions pédagogiques Livré avec l''appareil
446,"La foudre ,dangers et prévention",Electronique et électricité,DB355,متوسط,6.000.00 Dzd,/media/produit/images/DB_355_copy.jpg,Les éclairs sont des phénomènes naturels que nous observons Ses effets dans la nature; en particulier lors des turbulences météorologiques Les scientifiques ont trouvé une explication scientifique à ce phénomène En décharge «charge électrique entre la fermeture éclair et le sol (Physique des manuels scolaires.) Le dispositif proposé; vous pouvez ici des événements Et observez le même phénomène de foudre que Dans la nature; faire diverses expériences liées Sujet dans la section ou dans le laboratoire. La différence réside uniquement dans la puissance de la charge électrique déchargée. Ainsi; la charge électrique déchargée lors de l''utilisation du dispositif est très faible comparée à la puissance de la charge déchargée dans le cas d''un éclair de nature à ne pas former Dangereux pour l''utilisateur; mais suffisant pour voir l''étincelle et faire des expériences sur le sujet. Parmi les expériences suggérées; citons: - 1 lieu de chute paralysant aléatoire. - 2 Le sérieux de l''abri d''un arbre. - 3 Protection des bâtiments contre la foudre. Les expériences proposées sont détaillées dans les instructions pédagogiques fournies avec le dispositif.
447,Ensemble pour l’étude de L’optique par le laser (Secondaire),Optiques,DB356,ثانوي,4.990.00 Dzd,/media/produit/images/db_356-1_copy.jpg,L''enseignant peut maintenant mener des expériences de lumière devant tous les élèves Clarté et le plus rapidement possible en raison du caractère distinctif du groupe: - Ils contiennent des sources de lumière laser qui voit Donc clairement même en plein jour. - Prouvez facilement ces sources sur la plaque métallique différente Asanas pour tous les cas Que les faisceaux optiques sont (Parallèle; convergent; espacé) - Facilité de fonctionnement des sources de lumière laser lumière distincte Et ils contiennent la nutrition nutrition à l''origine. Les composants du kit sont tous équipés d’aimants facilitant la Ils sont également fixés à une plaque de métal qui Il est placé verticalement devant les disciples; L’une des expériences les plus importantes à réaliser est la suivante: réflexion; Réfraction; téléobjectifs; téléobjectifs; étude Prisme ... etc. Le kit est accompagné d''une instruction d''utilisation détaillée
448,Vision des objets,Optiques,DB357,متوسط,4.300.00 Dzd,/media/produit/images/DB_357_copy.jpg,Cet appareil est utilisé pour mener l''expérience entrante Dans le manuel pour la moyenne de la première année (Page 171) L’élève vérifie empiriquement de quoi il s’agit. Corps lumineux et corps éclairé Tous les concepts sont liés Cela conduit à l''obligation de voir les objets du bout des yeux. L''appareil est facile à utiliser et est familier Du plateau; ses faces internes sont noires Il a deux trous qui peuvent être ouverts et fermés au besoin C''est base par simple gestion (Lampe à basse tension et cutter) Une petite balle et une barrière sombre
449,Transmission des caractères Héréditaires,Sciences de la nature et de la vie,DB358,متوسط - ثانوي,7.000.00 Dzd,/media/produit/images/DB_358-1_copy.jpg,Porter le caractère génétique du noyau et précisément au niveau des chromosomes Ce qui est considéré comme son vrai siège. Chaque type d''organisme porte un numéro Statique des chromosomes et être même dans les cellules somatiques; où la moitié Le nombre provient du sperme du père et l''autre moitié de l''ovule de la mère. Le dispositif est utilisé pour traiter le transfert de traits génétiques et de problèmes De manière expérimentale simplifiée; utilisant le principe de la simulation . Grâce aux expériences proposées; l’appareil peut visualiser et suivre les étapes Les chromosomes de l''œuf fécondé constituent le début d''un processus Les mariages sont à la hauteur du processus de pollinisation. Présentation de l''appareil: L''appareil est constitué de (image :) A  - 1 plaque en métal blanc peut écrire dessus. Dimensions de 40x50 cm  - 2 bandes métalliques munies d''aimants à installer La plaque métallique représente les chromosomes répartis comme suit: A - 8 tranches longues de 10x55 mm; 4 bleues et 4 rouges B - 8 longues bandes avec des dimensions de 40 * 10 mm; 4 bleues et 4 rouges C - 4 segments représentant les chromosomes sexuels.  - 3 tablettes métalliques carrées représentant des gènes; réparties comme suit A - 20 représente les génotypes des groupes sanguins Rh -; Rh +; O; B; A; 4 pour chaque espèce L''appareil est accompagné d''une instruction pédagogique détaillée. B - 8 disques sur lesquels écrire pour représenter certains gènes. Extrait du mode d''emploi / question: Un homme et une femme se cliquent l''un l''autre. O Peuvent-ils identifier la clique de leurs enfants? Solution: Le gène du groupe O est submergé par d''autres gènes du groupe. Donc; les deux chromosomes analogues portant le gène du groupe sanguin dans la cellule La mère des ovules et du sperme de la femme porte nécessairement le génotype du groupe sanguin O (structure sur la photo) Donc; après la division des cellules mères des ovules (chacune ayant deux oeufs) et la division des cellules mères du sperme (Chacun reçoit deux spermatozoïdes.) La cellule de la mère donne aux œufs deux œufs portant chacun un génotype O La cellule mère du sperme porte deux spermatozoïdes portant chaque gène du sperme (O (voir image)) Enfin; après la pollinisation; les deux chromosomes mutés portent le gène du groupe sanguin Dans l''oeuf fécondé portant nécessairement les deux gènes du groupe sanguin. O (Voir la syntaxe dans l''image.) D Par conséquent; le sang du bébé provient du groupe.
450,Modélisation d’un séisme,Geologie,DB359,متوسط - ثانوي,6.000.00 Dzd,/media/produit/images/DB_359-1_copy.jpg,Lorsqu''un séisme frappe une zone; il provoque des déformations à la surface de la zone: fissures et fissures. Sa sévérité est liée à la force sismique; qui est exempte de la fissuration des couches rocheuses sous-jacentes. Plus la force d''un séisme peut être vérifiée en utilisant ce dispositif; ce qui permet la modélisation d''un séisme basé sur une méthode Nous plaçons un morceau de verre ou de plastique dans une fente fournie avec le dispositif; puis nous le pressons progressivement jusqu''à ce qu''il se brise. Le moment où cet écho est capturé par un capteur spécial puis enregistré directement sur l''écran de l''ordinateur Au moyen d’un programme spécial d’information; l’élève constate que plus le matériau utilisé est solide; plus l’amplitude de l’onde enregistrée est grande. - Le micro spécial peut être placé dans différentes positions à partir de la position de l''échantillon Pour obtenir des enregistrements lointains ou proches de la surface du séisme. - Le programme de média privé est facile à utiliser et permet de sauvegarder divers enregistrements. Ou imprimé pour analyse et comparaison. L’appareil est relié à un CD avec le programme multimédia spécial et une instruction indiquant comment Réalisez des expériences pas à pas avec plusieurs échantillons de différents matériaux de dureté.
451,Modèle de failles,Geologie,DB360,متوسط - ثانوي,10.000.00 Dzd,/media/produit/images/DB_360_copy.jpg,Le stéréoscope est constitué de quatre parties de la croûte terrestre qui ont subi Des distorsions sur des millions d''années entraînant la montée de couches Rocky et autre descente et cela a causé des fautes Chaînes de montagnes consécutives
452,Le moteur principal des plaques tectoniques,Geologie,DB361-2,متوسط - ثانوي,3.000.00 Dzd,/media/produit/images/DB_361-1_nv_copy.jpg,Cet appareil est utilisé comme modèle simplifié et simule le phénomène du mouvement de la plaque Tectonique où le récipient en verre est rempli d''eau à température normale et placé à sa surface Deux morceaux de polyester (deux plaques tectoniques) puis plongés à l''intérieur Le récipient est une bouteille d''eau très chaude; et quand l''eau chaude monte; elle se dilate En surface; les deux pièces de polyester s''éloignent l''une de l''autre Exactement sur le phénomène du mouvement de la plaque; qu''est-ce qui fait que l''étudiant interagit et absorbe Le phénomène de cristallisation a des concepts sur ce qui se passe dans le sous-sol et son effet Donc; sur les feuilles de la croûte. - Instructions d''utilisation jointes à l''appareil; vous trouverez une explication Phénomène détaillé
453,Modèle d’une dorsale océanique,Geologie,DB362,متوسط - ثانوي,9.000.00 Dzd,/media/produit/images/DB_362_copy.jpg,L’anthropomorphe devant vous représente l’activité générale de l’épithélium périphérique; où il se trouve Le côté a une ascension magma au niveau de la faille (zone d''expansion) Le sol environnant est déterminé au niveau de la dilatation de la plaque après le durcissement Basalte formant des roches basaltiques au fond de l''océan; la disparition des crevasses Anciennes zones de plongée (douves.) Indiquent également la formation de volcans Au niveau des zones de plongée (compression)
454,Modèle de plis et failles,Geologie,DB363,متوسط - ثانوي,10.000.00 Dzd,/media/produit/images/DB_363_copy.jpg,Le stéréoscope représente une section de chaînes de montagnes causée par des distorsions Sur la croûte terrestre par forte compression horizontale Ce qui a conduit à l''émergence de deux types de distorsions: - Plis dans le cas de roches élastiques et de failles. - Dans le cas de roches souples et inélastiques.
455,Coupe géologique d’un volcan,Geologie,DB364,متوسط - ثانوي,10.000.00 Dzd,/media/produit/images/DB_364_copy.jpg,L''holographique représente la structure géologique interne et externe d''un volcan montrant la relation entre une surface Terre et régions profondes du globe dans lesquelles les roches sont fondues sous la forme Quand ils atteignent la surface; Magma conduit à la formation de nouvelles caractéristiques géologiques.
456,Le soi et le non soi : Règles immunologiques de l’admissibilité de transfusion sanguine,Sciences de la nature et de la vie,DB365,متوسط - ثانوي,7.000.00 Dzd,/media/produit/images/DB_365-1_copy.jpg,Les globules rouges ont leur membrane comme toutes les autres cellules. Ces molécules agissent comme des antigènes pouvant produire une réponse immunitaire en formant des anticorps Dans le cas d''un non-membre Les anticorps sécrétés agissent pour compacter les globules rouges. L''appareil entre vos mains utilise le principe de la simulation pour simplifier l''explication des mécanismes d''empilement Les globules rouges en tant que manifestation Réponse immunitaire spécifique. Les expériences sont détaillées dans les instructions pédagogiques. L''appareil est composé de (image :) A  - 1 tableau en métal blanc; dimensions 40 * 50 cm. Dessinez un bol de sérum sanguin et dessinez un tableau le montrant Antigènes sur les globules Dans le système et les objets ABO Anticorps présents dans le sérum de chaque groupe.  - 2 comprimés en plastique représentent les érythrocytes du groupe sanguin dans le système; générateurs ABO montrés Nombre de comprimés; 12 trois pour chaque groupe.  - 3 pièces en plastique représentent des anticorps; - 3 représentent contre et 3 représentent contre. B  - 4 stylos avec de l''encre effaçable sur la plaque métallique. Observation : Les disques et les pièces en plastique sont équipés d''aimants pour les installer sur Plaque de métal pendant les expériences. L''appareil est livré avec une instruction pédagogique détaillée. Extrait de l''instruction d''utilisation: Un patient du groupe sanguin B ne doit pas être injecté du groupe A car cela entraîne un risque important de Sa vie Le sérum du groupe B contient des anticorps anti-érythrocytes Pour le groupe A qui conduit à l’empilement. Voir installation dans l''image
457,Changes gazeux entre les alvéoles pulmonaires et le sang,Sciences de la nature et de la vie,DB366,متوسط - ثانوي,7.000.00 Dzd,/media/produit/images/DB_366_copy.jpg,Le dispositif est une représentation mobile des échanges gazeux entre les alvéoles pulmonaires Et le sang qui traverse les capillaires sur un mur Alvéoles; dimensions: 50x40 cm. J''utilise des lumières séquentielles dans l''appareil pour montrer le mouvement du sang et des gaz Mutuelle (dioxyde et dioxyde de carbone). Le travail des lumières séquentielles est réglé par une installation électronique Fonctionne avec une tension constante de 12 volts. Livré avec un transformateur électrique (entrée 220 V AC et sortie 12 Tension (Continu) Pour utiliser la machine; voir l''image correspondante. La représentation est imprimée sur une feuille de plastique transparente pour montrer les lumières séquentielles L''appareil est léger et facile à transférer entre les sections et l''échange entre les professeurs du matériel
458,Représentation animée de la circulation sanguine,Sciences de la nature et de la vie,DB367,متوسط - ثانوي,11.000.00 Dzd,/media/produit/images/DB_367-1_copy.jpg,Un appareil mobile pour la grande et la petite circulation. L''appareil utilise des lumières séquentielles pour représenter le flux sanguin et le flux sanguin À travers les artères; les veines et les capillaires. Le travail des lumières séquentielles est réglé par une installation électronique Sur un panneau en plastique transparent pour apparaître à travers les lumières séquentielles Le bâti de la machine est en aluminium. Représentation animée du système circulatoire Représentation animée de la circulation sanguine Parmi les caractéristiques de base de l''appareil:  - 1 L''appareil est léger et facile à manipuler Entre les professeurs et déplacez-le d''un département à un autre.  - 2 grandes dimensions; ses dimensions sont 50 * 70 cm. Il peut être regardé par une fête Tous les élèves du département.  - 3 montre l''action simultanée du coeur auriculaire et du coeur ventriculaire.  4 - montre le trajet complet du sang à travers les quatre étapes de base suivantes: A - du coeur aux organes du corps. B - des organes du corps au coeur. C - du coeur aux poumons. D - des poumons au coeur L''appareil fonctionne à une tension constante de 12 volts Un transformateur électrique est prévu à cet effet (voir photo correspondante). Remarque: l''appareil peut également être alimenté par une pile 9V Ou assemblez deux batteries de 4;5 volts
459,Techniques d’extraction du pétrole,Geologie,DB368,متوسط,9.000.00 Dzd,/media/produit/images/DB_368_copy.jpg,Pour un modèle miniature pratique d''un réservoir d''huile. Le but de ce dispositif est de réaliser des expériences de base sur les techniques d’extraction du pétrole dans le département ou le laboratoire et de vérifier expérimentalement l’efficacité de ces techniques. Le dispositif a été réalisé conformément aux conseils de spécialistes en éducation qui estiment que la pratique et l''expérience constituent le meilleur moyen de comprendre les concepts scientifiques. Parmi les techniques de base d''extraction d''huile utilisées par l''appareil à tester dans le département ou le laboratoire; on peut citer:  Utilisation du gaz naturel et de la pression de l''eau.  2 - Pousser du gaz dans le réservoir d''huile pour créer une pression à l''intérieur du réservoir afin de pousser l''huile hors du réservoir.  3 - pour pousser l''eau dans le réservoir d''huile afin de créer une pression à l''intérieur du réservoir afin de pousser l''huile hors du réservoir. Après avoir poussé l''eau dans la seringue; l''huile représente l''huile. Les expériences sont détaillées dans les instructions d''utilisation fournies avec l''appareil.
460,Modèle d’un Aquifère confiné,Geologie,DB369,متوسط,7.000.00 Dzd,/media/produit/images/DB_369_copy.jpg,Cet appareil est un modèle pratique pour une poche d’eau. Le but de l''appareil est de permettre au prof Aborder la question des eaux souterraines de manière expérimentale et donner aux étudiants Résoudre les problèmes associés au sujet; en les guidant dans la conduite d’expériences Des réponses simples à ces problèmes. Parmi les principaux problèmes pouvant être résolus de manière empirique: Comment les eaux souterraines se régénèrent-elles? - 2 Une poche d''eau peut-elle s''assécher? 3 - Pourquoi l''eau coule-t-elle dans les puits (puits artésiens) et dans aucun autre puits? (Puits de surface)? Les expériences sont détaillées dans les instructions d''utilisation fournies avec l''appareil. Le dispositif est en matière plastique; ce qui le rend non affecté par l''eau Tout en faisant des expériences. Livrer avec le dispositif de seringue pour remplir la poche d’eau. Livré également avec l''appareil Récipient en plastique pour recevoir de l''eau lors des expériences. Il fournit également avec l''appareil deux pieds en plastique pour le maintenir en place Verticalité pendant les expériences
